,crc_errors,invalid_packets,messages,polling_cycles,publications,retransmissions,packet_delivery_ratio,network_delivery_ratio
2019-05-17 10:30:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-05-17 10:35:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-05-17 11:10:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 11:25:00,1.0,0.0,12.0,12.0,12.0,1.0,0.8571428571428571,1.0
2019-05-17 11:40:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 11:55:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 12:10:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 12:25:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 12:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 12:55:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 13:10:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 13:25:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 13:45:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 14:00:00,1.0,0.0,12.0,12.0,12.0,1.0,0.8571428571428571,1.0
2019-05-17 14:15:00,0.0,0.0,11.0,11.0,11.0,0.0,1.0,0.9166666666666666
2019-05-17 14:30:00,1.0,0.0,12.0,12.0,12.0,1.0,0.8571428571428571,1.0
2019-05-17 14:45:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 15:15:00,1.0,0.0,12.0,12.0,12.0,0.0,0.9230769230769231,1.0
2019-05-17 15:30:00,0.0,0.0,12.0,12.0,12.0,0.0,1.0,1.0
2019-05-17 15:45:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 16:00:00,0.0,0.0,12.0,12.0,12.0,0.0,1.0,1.0
2019-05-17 16:15:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-17 17:00:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 17:15:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 17:30:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 17:45:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 18:00:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 18:15:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 18:30:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 18:45:00,0.0,0.0,10.0,10.0,10.0,1.0,0.9090909090909091,0.8333333333333334
2019-05-17 19:05:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 19:20:00,0.0,0.0,11.0,11.0,11.0,0.0,1.0,0.9166666666666666
2019-05-17 19:35:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 19:50:00,0.0,0.0,11.0,11.0,11.0,0.0,1.0,0.9166666666666666
2019-05-17 20:35:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 20:50:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 21:25:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 21:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 21:55:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 22:10:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 22:25:00,1.0,0.0,11.0,11.0,11.0,0.0,0.9166666666666666,0.9166666666666666
2019-05-17 22:40:00,0.0,0.0,10.0,10.0,10.0,1.0,0.9090909090909091,0.8333333333333334
2019-05-17 22:55:00,0.0,0.0,11.0,11.0,11.0,0.0,1.0,0.9166666666666666
2019-05-17 23:10:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 23:25:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-17 23:40:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-17 23:55:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 00:10:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 00:25:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 00:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 01:15:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 01:30:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 01:45:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 02:00:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 02:15:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 02:30:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 02:45:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 03:00:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 03:15:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 03:30:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 03:45:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 04:00:00,0.0,0.0,11.0,11.0,11.0,2.0,0.8461538461538461,0.9166666666666666
2019-05-18 04:15:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 04:30:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-18 04:50:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-18 05:05:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 05:20:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 05:35:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 05:50:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 06:05:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 06:20:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 06:35:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 06:50:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 07:05:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 07:20:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 07:35:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 07:50:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 08:05:00,1.0,0.0,12.0,12.0,12.0,0.0,0.9230769230769231,1.0
2019-05-18 08:20:00,0.0,0.0,12.0,12.0,12.0,0.0,1.0,1.0
2019-05-18 08:40:00,0.0,0.0,11.0,11.0,11.0,0.0,1.0,0.9166666666666666
2019-05-18 09:25:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-18 09:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 09:55:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 10:10:00,1.0,0.0,11.0,11.0,11.0,1.0,0.8461538461538461,0.9166666666666666
2019-05-18 10:25:00,1.0,0.0,11.0,11.0,11.0,0.0,0.9166666666666666,0.9166666666666666
2019-05-18 10:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 10:55:00,1.0,0.0,12.0,12.0,12.0,1.0,0.8571428571428571,1.0
2019-05-18 11:10:00,0.0,0.0,12.0,12.0,12.0,1.0,0.9230769230769231,1.0
2019-05-18 11:25:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 11:40:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 12:00:00,0.0,0.0,11.0,11.0,11.0,1.0,0.9166666666666666,0.9166666666666666
2019-05-18 12:15:00,1.0,0.0,12.0,12.0,12.0,1.0,0.8571428571428571,1.0
