,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-09-28 00:25:00+00:00,0,0,2,88,,0.9777777777777777
2019-09-28 00:40:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-28 00:55:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-28 01:10:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-28 01:25:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 01:40:00+00:00,0,0,3,84,,0.9333333333333333
2019-09-28 01:55:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-28 02:10:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-28 02:25:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-28 02:40:00+00:00,0,0,0,82,,0.9111111111111111
2019-09-28 02:55:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-28 03:10:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-28 03:25:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 03:45:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-28 04:00:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-28 04:15:00+00:00,0,0,3,85,,0.9444444444444444
2019-09-28 04:30:00+00:00,0,0,3,87,,0.9666666666666667
2019-09-28 04:45:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-28 05:00:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 05:15:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-28 05:45:00+00:00,0,0,2,88,,0.9777777777777777
2019-09-28 06:00:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 06:20:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-28 06:35:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-28 06:50:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 07:25:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-28 07:40:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-28 07:55:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-28 08:10:00+00:00,0,0,4,87,,0.9666666666666667
2019-09-28 08:25:00+00:00,0,0,3,85,,0.9444444444444444
2019-09-28 08:40:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-28 08:55:00+00:00,0,0,1,89,,0.9888888888888889
2019-09-28 09:10:00+00:00,0,0,1,82,,0.9111111111111111
2019-09-28 09:25:00+00:00,0,0,6,88,,0.9777777777777777
2019-09-28 09:40:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-28 09:55:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-28 10:10:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-28 10:25:00+00:00,0,0,4,86,,0.9555555555555556
2019-09-28 10:40:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-28 10:55:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-28 11:10:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 11:25:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-28 11:40:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-28 11:55:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-28 12:35:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 12:50:00+00:00,0,0,0,82,,0.9111111111111111
2019-09-28 13:05:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-28 13:20:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-28 13:35:00+00:00,0,0,0,85,,0.9444444444444444
2019-09-28 14:10:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 14:25:00+00:00,0,0,4,85,,0.9444444444444444
2019-09-28 14:40:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-28 14:55:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 15:10:00+00:00,0,0,4,87,,0.9666666666666667
2019-09-28 15:25:00+00:00,0,0,1,89,,0.9888888888888889
2019-09-28 15:40:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 15:55:00+00:00,0,0,5,84,,0.9333333333333333
2019-09-28 16:10:00+00:00,0,0,6,89,,0.9888888888888889
2019-09-28 16:25:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-28 16:45:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 17:00:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-28 17:15:00+00:00,0,0,1,80,,0.8888888888888888
2019-09-28 17:30:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-28 17:45:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-28 18:00:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-28 18:15:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 18:30:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 18:45:00+00:00,0,0,4,87,,0.9666666666666667
2019-09-28 19:30:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-28 19:45:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 20:00:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-28 20:15:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-28 20:30:00+00:00,0,0,0,82,,0.9111111111111111
2019-09-28 21:05:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-28 21:20:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 21:40:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 21:55:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-28 22:10:00+00:00,0,0,1,80,,0.8888888888888888
2019-09-28 22:25:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-28 22:40:00+00:00,0,0,0,82,,0.9111111111111111
2019-09-28 22:55:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-28 23:10:00+00:00,0,0,0,82,,0.9111111111111111
2019-09-28 23:25:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-28 23:40:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-28 23:55:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-29 00:10:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-29 00:25:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-29 00:40:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-29 00:55:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-29 01:10:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-29 01:25:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-29 01:40:00+00:00,0,0,4,82,,0.9111111111111111
2019-09-29 02:30:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-29 02:45:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-29 03:00:00+00:00,0,0,2,89,,0.9888888888888889
2019-09-29 03:15:00+00:00,0,0,0,85,,0.9444444444444444
2019-09-29 03:30:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-29 04:05:00+00:00,0,0,4,89,,0.9888888888888889
2019-09-29 04:20:00+00:00,0,0,0,77,,0.8555555555555555
2019-09-29 04:35:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-29 04:50:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-29 05:05:00+00:00,0,0,3,85,,0.9444444444444444
2019-09-29 05:20:00+00:00,0,0,0,81,,0.9
2019-09-29 05:40:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-29 05:55:00+00:00,0,0,3,81,,0.9
2019-09-29 06:10:00+00:00,0,0,3,82,,0.9111111111111111
2019-09-29 06:25:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-29 06:40:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-29 06:55:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-29 07:10:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-29 07:25:00+00:00,0,0,2,80,,0.8888888888888888
2019-09-29 07:40:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-29 07:55:00+00:00,0,0,0,85,,0.9444444444444444
2019-09-29 08:10:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-29 08:25:00+00:00,0,0,3,84,,0.9333333333333333
2019-09-29 08:40:00+00:00,0,0,1,79,,0.8777777777777778
2019-09-29 09:20:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-29 09:35:00+00:00,0,0,1,88,,0.9777777777777777
2019-09-29 09:50:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-29 10:05:00+00:00,0,0,0,83,,0.9222222222222223
2019-09-29 10:20:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-29 10:55:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-29 11:10:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-29 11:25:00+00:00,0,0,5,81,,0.9
2019-09-29 11:40:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-29 12:00:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-29 12:15:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-29 12:30:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-29 12:45:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-29 13:00:00+00:00,0,0,3,87,,0.9666666666666667
2019-09-29 13:15:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-29 13:30:00+00:00,0,0,3,87,,0.9666666666666667
2019-09-29 13:45:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-29 14:00:00+00:00,0,0,0,84,,0.9333333333333333
2019-09-29 14:15:00+00:00,0,0,0,88,,0.9777777777777777
2019-09-29 14:30:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-29 14:45:00+00:00,0,0,2,86,,0.9555555555555556
2019-09-29 15:00:00+00:00,0,0,0,88,,0.9777777777777777
2019-09-29 15:15:00+00:00,0,0,3,86,,0.9555555555555556
2019-09-29 15:30:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-29 16:05:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-29 16:20:00+00:00,0,0,1,82,,0.9111111111111111
2019-09-29 16:35:00+00:00,0,0,0,85,,0.9444444444444444
2019-09-29 16:55:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-29 17:10:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-29 17:45:00+00:00,0,0,2,84,,0.9333333333333333
2019-09-29 18:00:00+00:00,0,0,1,86,,0.9555555555555556
2019-09-29 18:15:00+00:00,0,0,3,87,,0.9666666666666667
2019-09-29 18:30:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-29 18:45:00+00:00,0,0,4,85,,0.9444444444444444
2019-09-29 19:00:00+00:00,0,0,4,84,,0.9333333333333333
2019-09-29 19:15:00+00:00,0,0,2,85,,0.9444444444444444
2019-09-29 19:30:00+00:00,0,0,0,86,,0.9555555555555556
2019-09-29 19:45:00+00:00,0,0,0,83,,0.9222222222222223
2019-09-29 20:00:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-29 20:15:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-29 20:50:00+00:00,0,0,3,82,,0.9111111111111111
2019-09-29 21:05:00+00:00,0,0,1,84,,0.9333333333333333
2019-09-29 21:20:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-29 21:35:00+00:00,0,0,2,88,,0.9777777777777777
2019-09-29 21:50:00+00:00,0,0,3,83,,0.9222222222222223
2019-09-29 22:05:00+00:00,0,0,4,85,,0.9444444444444444
2019-09-29 22:20:00+00:00,0,0,2,88,,0.9777777777777777
2019-09-29 22:35:00+00:00,0,0,0,87,,0.9666666666666667
2019-09-29 23:10:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-29 23:25:00+00:00,0,0,1,85,,0.9444444444444444
2019-09-29 23:40:00+00:00,0,0,0,83,,0.9222222222222223
2019-09-29 23:55:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-30 00:10:00+00:00,0,0,2,87,,0.9666666666666667
2019-09-30 00:45:00+00:00,0,0,2,83,,0.9222222222222223
2019-09-30 01:00:00+00:00,0,0,1,83,,0.9222222222222223
2019-09-30 01:15:00+00:00,0,0,1,87,,0.9666666666666667
2019-09-30 01:30:00+00:00,0,0,1,85,,0.9444444444444444
