timestamp,crc_errors,invalid_packets,messages,polling_cycles,publications,retransmissions,packet_delivery_ratio,network_delivery_ratio
2020-02-29 22:10:00+00:00,0.0,0.0,40.0,84.0,40.0,167.0,0.1593625498007968,0.31007751937984496
2020-02-29 22:25:00+00:00,0.0,0.0,50.0,86.0,50.0,149.0,0.2127659574468085,0.3875968992248062
2020-02-29 22:40:00+00:00,0.0,0.0,40.0,85.0,40.0,167.0,0.15873015873015872,0.31007751937984496
2020-02-29 22:55:00+00:00,0.0,0.0,54.0,88.0,54.0,146.0,0.23076923076923078,0.4186046511627907
2020-02-29 23:10:00+00:00,0.0,0.0,46.0,86.0,46.0,159.0,0.18775510204081633,0.35658914728682173
2020-02-29 23:25:00+00:00,0.0,0.0,43.0,85.0,43.0,168.0,0.16996047430830039,0.3333333333333333
2020-02-29 23:40:00+00:00,0.0,0.0,50.0,86.0,50.0,154.0,0.20833333333333334,0.3875968992248062
2020-03-01 00:00:00+00:00,0.0,0.0,52.0,87.0,52.0,152.0,0.2175732217573222,0.40310077519379844
2020-03-01 00:15:00+00:00,0.0,0.0,48.0,86.0,48.0,155.0,0.1991701244813278,0.37209302325581395
2020-03-01 00:30:00+00:00,3.0,0.0,34.0,84.0,34.0,169.0,0.1328125,0.26356589147286824
2020-03-01 00:45:00+00:00,0.0,0.0,49.0,86.0,49.0,156.0,0.2024793388429752,0.3798449612403101
2020-03-01 01:00:00+00:00,0.0,0.0,44.0,85.0,44.0,158.0,0.18106995884773663,0.34108527131782945
2020-03-01 01:15:00+00:00,0.0,0.0,43.0,85.0,43.0,168.0,0.16996047430830039,0.3333333333333333
2020-03-01 01:30:00+00:00,0.0,0.0,35.0,84.0,35.0,173.0,0.13618677042801555,0.2713178294573643
2020-03-01 01:45:00+00:00,0.0,0.0,45.0,86.0,45.0,162.0,0.1814516129032258,0.3488372093023256
2020-03-01 02:00:00+00:00,0.0,0.0,43.0,85.0,43.0,156.0,0.17842323651452283,0.3333333333333333
2020-03-01 02:15:00+00:00,0.0,0.0,44.0,87.0,44.0,160.0,0.17813765182186234,0.34108527131782945
2020-03-01 02:30:00+00:00,1.0,0.0,40.0,84.0,40.0,161.0,0.16260162601626016,0.31007751937984496
2020-03-01 02:45:00+00:00,0.0,0.0,48.0,84.0,48.0,155.0,0.200836820083682,0.37209302325581395
2020-03-01 03:00:00+00:00,1.0,0.0,45.0,85.0,45.0,147.0,0.19313304721030042,0.3488372093023256
2020-03-01 03:15:00+00:00,0.0,0.0,49.0,87.0,49.0,150.0,0.20675105485232068,0.3798449612403101
2020-03-01 03:30:00+00:00,0.0,0.0,52.0,87.0,52.0,150.0,0.21940928270042195,0.40310077519379844
2020-03-01 03:45:00+00:00,1.0,0.0,41.0,85.0,41.0,164.0,0.164,0.3178294573643411
2020-03-01 04:05:00+00:00,3.0,0.0,35.0,84.0,35.0,175.0,0.13358778625954199,0.2713178294573643
2020-03-01 04:20:00+00:00,1.0,0.0,33.0,84.0,33.0,175.0,0.12692307692307692,0.2558139534883721
2020-03-01 05:00:00+00:00,0.0,0.0,25.0,78.0,25.0,184.0,0.09541984732824428,0.1937984496124031
