,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-06-07 09:45:00+00:00,0,12,0,27,0.2727272727272727,0.3
2019-06-07 10:00:00+00:00,0,44,0,82,1.0,0.9111111111111111
2019-06-07 10:15:00+00:00,0,0,2,81,0.0,0.9
2019-06-07 10:30:00+00:00,0,9,0,77,0.20454545454545456,0.8555555555555555
2019-06-07 10:45:00+00:00,0,2,0,53,0.045454545454545456,0.5888888888888889
2019-06-07 11:00:00+00:00,0,0,0,27,0.0,0.3
2019-06-07 11:15:00+00:00,0,4,0,84,0.09090909090909091,0.9333333333333333
2019-06-07 11:30:00+00:00,0,0,1,84,0.0,0.9333333333333333
2019-06-07 11:45:00+00:00,0,15,0,80,0.3409090909090909,0.8888888888888888
2019-06-07 12:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 12:15:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-07 12:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 12:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 13:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 13:15:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 13:30:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-07 13:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 14:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 14:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-07 14:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 14:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-07 15:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 15:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 15:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 15:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 16:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-07 16:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 16:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
