,crc_errors,invalid_packets,messages,polling_cycles,publications,retransmissions,packet_delivery_ratio,network_delivery_ratio
2019-05-30 00:10:00,2.0,0.0,163.0,163.0,163.0,0.0,0.9878787878787879,0.9367816091954023
2019-05-30 00:25:00,1.0,0.0,162.0,162.0,162.0,2.0,0.9818181818181818,0.9310344827586207
2019-05-30 00:40:00,0.0,0.0,165.0,165.0,165.0,0.0,1.0,0.9482758620689655
2019-05-30 00:55:00,1.0,0.0,163.0,163.0,163.0,4.0,0.9702380952380952,0.9367816091954023
2019-05-30 01:10:00,1.0,0.0,161.0,161.0,161.0,2.0,0.9817073170731707,0.9252873563218391
2019-05-30 01:25:00,1.0,0.0,162.0,162.0,162.0,0.0,0.9938650306748467,0.9310344827586207
2019-05-30 02:05:00,3.0,0.0,164.0,164.0,164.0,0.0,0.9820359281437125,0.9425287356321839
2019-05-30 02:20:00,4.0,0.0,163.0,163.0,163.0,2.0,0.9644970414201184,0.9367816091954023
2019-05-30 02:35:00,6.0,0.0,164.0,164.0,164.0,1.0,0.9590643274853801,0.9425287356321839
2019-05-30 02:55:00,0.0,0.0,165.0,165.0,165.0,1.0,0.9939759036144579,0.9482758620689655
2019-05-30 03:10:00,0.0,0.0,165.0,165.0,165.0,0.0,1.0,0.9482758620689655
2019-05-30 03:55:00,0.0,0.0,167.0,167.0,167.0,0.0,1.0,0.9597701149425287
2019-05-30 04:10:00,1.0,0.0,169.0,169.0,169.0,1.0,0.9883040935672515,0.9712643678160919
2019-05-30 04:25:00,0.0,0.0,170.0,170.0,170.0,0.0,1.0,0.9770114942528736
2019-05-30 04:40:00,0.0,0.0,168.0,168.0,168.0,3.0,0.9824561403508771,0.9655172413793104
2019-05-30 04:55:00,1.0,0.0,168.0,168.0,168.0,2.0,0.9824561403508771,0.9655172413793104
2019-05-30 05:10:00,0.0,0.0,151.0,151.0,151.0,0.0,1.0,0.867816091954023
2019-05-30 05:25:00,0.0,0.0,124.0,124.0,124.0,0.0,1.0,0.7126436781609196
2019-05-30 05:40:00,2.0,0.0,144.0,144.0,144.0,2.0,0.972972972972973,0.8275862068965517
2019-05-30 05:55:00,1.0,0.0,149.0,149.0,149.0,0.0,0.9933333333333333,0.8563218390804598
2019-05-30 06:10:00,2.0,0.0,146.0,146.0,146.0,1.0,0.9798657718120806,0.8390804597701149
2019-05-30 06:25:00,1.0,0.0,137.0,137.0,137.0,1.0,0.9856115107913669,0.7873563218390804
2019-05-30 06:40:00,1.0,0.0,140.0,140.0,140.0,3.0,0.9722222222222222,0.8045977011494253
2019-05-30 06:55:00,1.0,0.0,171.0,171.0,171.0,0.0,0.9941860465116279,0.9827586206896551
2019-05-30 07:15:00,0.0,0.0,167.0,167.0,167.0,0.0,1.0,0.9597701149425287
2019-05-30 07:30:00,1.0,0.0,167.0,168.0,167.0,3.0,0.9709302325581395,0.9597701149425287
2019-05-30 07:45:00,2.0,0.0,165.0,165.0,165.0,0.0,0.9880239520958084,0.9482758620689655
2019-05-30 08:00:00,0.0,0.0,152.0,152.0,152.0,3.0,0.9806451612903225,0.8735632183908046
2019-05-30 08:15:00,2.0,0.0,141.0,141.0,141.0,1.0,0.9791666666666666,0.8103448275862069
2019-05-30 08:30:00,1.0,0.0,137.0,137.0,137.0,0.0,0.9927536231884058,0.7873563218390804
2019-05-30 08:45:00,1.0,0.0,131.0,131.0,131.0,3.0,0.9703703703703703,0.7528735632183908
2019-05-30 09:00:00,0.0,0.0,144.0,144.0,144.0,0.0,1.0,0.8275862068965517
2019-05-30 09:15:00,2.0,0.0,148.0,148.0,148.0,3.0,0.9673202614379085,0.8505747126436781
2019-05-30 09:30:00,2.0,0.0,157.0,157.0,157.0,1.0,0.98125,0.9022988505747126
2019-05-30 09:45:00,2.0,0.0,155.0,155.0,155.0,0.0,0.9872611464968153,0.8908045977011494
2019-05-30 10:25:00,3.0,0.0,160.0,160.0,160.0,1.0,0.975609756097561,0.9195402298850575
2019-05-30 10:40:00,1.0,0.0,163.0,164.0,163.0,3.0,0.9702380952380952,0.9367816091954023
2019-05-30 10:55:00,0.0,0.0,126.0,127.0,126.0,3.0,0.9692307692307692,0.7241379310344828
2019-05-30 11:10:00,1.0,0.0,121.0,121.0,121.0,0.0,0.9918032786885246,0.6954022988505747
2019-05-30 11:25:00,1.0,0.0,145.0,145.0,145.0,0.0,0.9931506849315068,0.8333333333333334
2019-05-30 11:40:00,1.0,0.0,140.0,140.0,140.0,0.0,0.9929078014184397,0.8045977011494253
2019-05-30 11:55:00,2.0,0.0,144.0,144.0,144.0,0.0,0.9863013698630136,0.8275862068965517
2019-05-30 12:30:00,1.0,0.0,156.0,156.0,156.0,0.0,0.9936305732484076,0.896551724137931
2019-05-30 12:45:00,2.0,0.0,155.0,155.0,155.0,0.0,0.9872611464968153,0.8908045977011494
2019-05-30 13:00:00,1.0,0.0,166.0,166.0,166.0,0.0,0.9940119760479041,0.9540229885057471
2019-05-30 13:15:00,0.0,0.0,170.0,170.0,170.0,1.0,0.9941520467836257,0.9770114942528736
2019-05-30 13:30:00,1.0,0.0,163.0,163.0,163.0,1.0,0.9878787878787879,0.9367816091954023
2019-05-30 13:45:00,0.0,0.0,149.0,149.0,149.0,1.0,0.9933333333333333,0.8563218390804598
