,crc_errors,invalid_packets,messages,polling_cycles,publications,retransmissions,packet_delivery_ratio,network_delivery_ratio
2019-05-30 00:10:00,0.0,0.0,163.0,163.0,163.0,1.0,0.9939024390243902,0.9367816091954023
2019-05-30 00:25:00,0.0,0.0,162.0,162.0,162.0,6.0,0.9642857142857143,0.9310344827586207
2019-05-30 00:40:00,1.0,0.0,165.0,165.0,165.0,3.0,0.9763313609467456,0.9482758620689655
2019-05-30 00:55:00,4.0,0.0,163.0,163.0,163.0,3.0,0.9588235294117647,0.9367816091954023
2019-05-30 01:10:00,15.0,0.0,161.0,161.0,161.0,3.0,0.8994413407821229,0.9252873563218391
2019-05-30 01:25:00,6.0,0.0,162.0,162.0,162.0,1.0,0.9585798816568047,0.9310344827586207
2019-05-30 02:05:00,0.0,0.0,164.0,164.0,164.0,3.0,0.9820359281437125,0.9425287356321839
2019-05-30 02:20:00,1.0,0.0,163.0,163.0,163.0,5.0,0.9644970414201184,0.9367816091954023
2019-05-30 02:35:00,1.0,0.0,164.0,164.0,164.0,5.0,0.9647058823529412,0.9425287356321839
2019-05-30 02:55:00,1.0,0.0,165.0,165.0,165.0,1.0,0.9880239520958084,0.9482758620689655
2019-05-30 03:10:00,0.0,0.0,165.0,165.0,165.0,2.0,0.9880239520958084,0.9482758620689655
2019-05-30 03:55:00,0.0,0.0,167.0,167.0,167.0,8.0,0.9542857142857143,0.9597701149425287
2019-05-30 04:10:00,0.0,0.0,169.0,169.0,169.0,4.0,0.976878612716763,0.9712643678160919
2019-05-30 04:25:00,0.0,0.0,170.0,170.0,170.0,3.0,0.9826589595375722,0.9770114942528736
2019-05-30 04:40:00,0.0,0.0,168.0,168.0,168.0,6.0,0.9655172413793104,0.9655172413793104
2019-05-30 04:55:00,0.0,0.0,167.0,168.0,167.0,7.0,0.9542857142857143,0.9597701149425287
2019-05-30 05:10:00,0.0,0.0,141.0,151.0,141.0,71.0,0.6351351351351351,0.8103448275862069
2019-05-30 05:25:00,1.0,0.0,56.0,124.0,56.0,236.0,0.15512465373961218,0.3218390804597701
2019-05-30 05:40:00,1.0,0.0,117.0,144.0,117.0,137.0,0.4148936170212766,0.6724137931034483
2019-05-30 05:55:00,2.0,0.0,136.0,149.0,136.0,70.0,0.6153846153846154,0.7816091954022989
2019-05-30 06:10:00,1.0,0.0,136.0,146.0,136.0,55.0,0.6732673267326733,0.7816091954022989
2019-05-30 06:25:00,1.0,0.0,127.0,137.0,127.0,59.0,0.6446700507614214,0.7298850574712644
2019-05-30 06:40:00,2.0,0.0,138.0,140.0,138.0,26.0,0.8214285714285714,0.7931034482758621
2019-05-30 06:55:00,0.0,0.0,171.0,171.0,171.0,2.0,0.9884393063583815,0.9827586206896551
2019-05-30 07:15:00,0.0,0.0,166.0,167.0,166.0,5.0,0.9651162790697675,0.9540229885057471
2019-05-30 07:30:00,0.0,0.0,168.0,168.0,168.0,3.0,0.9824561403508771,0.9655172413793104
2019-05-30 07:45:00,1.0,0.0,165.0,165.0,165.0,4.0,0.9705882352941176,0.9482758620689655
2019-05-30 08:00:00,1.0,0.0,151.0,152.0,151.0,8.0,0.937888198757764,0.867816091954023
2019-05-30 08:15:00,1.0,0.0,124.0,141.0,124.0,72.0,0.5794392523364486,0.7126436781609196
2019-05-30 08:30:00,0.0,0.0,112.0,137.0,112.0,117.0,0.4409448818897638,0.6436781609195402
2019-05-30 08:45:00,2.0,0.0,91.0,131.0,91.0,168.0,0.3023255813953488,0.5229885057471264
2019-05-30 09:00:00,1.0,0.0,127.0,144.0,127.0,84.0,0.5545851528384279,0.7298850574712644
2019-05-30 09:15:00,0.0,0.0,129.0,148.0,129.0,84.0,0.5560344827586207,0.7413793103448276
2019-05-30 09:30:00,0.0,0.0,148.0,157.0,148.0,51.0,0.7115384615384616,0.8505747126436781
2019-05-30 09:45:00,0.0,0.0,140.0,155.0,140.0,79.0,0.5982905982905983,0.8045977011494253
2019-05-30 10:25:00,3.0,0.0,154.0,160.0,154.0,44.0,0.7439613526570048,0.8850574712643678
2019-05-30 10:40:00,0.0,0.0,164.0,164.0,164.0,15.0,0.9162011173184358,0.9425287356321839
2019-05-30 10:55:00,1.0,0.0,79.0,127.0,79.0,173.0,0.26245847176079734,0.4540229885057471
2019-05-30 11:10:00,0.0,0.0,60.0,121.0,60.0,210.0,0.18126888217522658,0.3448275862068966
2019-05-30 11:25:00,2.0,0.0,115.0,145.0,115.0,143.0,0.39655172413793105,0.6609195402298851
2019-05-30 11:40:00,2.0,0.0,127.0,140.0,127.0,66.0,0.6105769230769231,0.7298850574712644
2019-05-30 11:55:00,4.0,0.0,141.0,144.0,141.0,24.0,0.8197674418604651,0.8103448275862069
2019-05-30 12:30:00,0.0,0.0,146.0,156.0,146.0,66.0,0.6576576576576577,0.8390804597701149
2019-05-30 12:45:00,5.0,0.0,136.0,155.0,136.0,91.0,0.5418326693227091,0.7816091954022989
2019-05-30 13:00:00,2.0,0.0,161.0,166.0,161.0,34.0,0.7970297029702971,0.9252873563218391
2019-05-30 13:15:00,0.0,0.0,169.0,170.0,169.0,7.0,0.9548022598870056,0.9712643678160919
2019-05-30 13:30:00,5.0,0.0,153.0,163.0,153.0,41.0,0.7320574162679426,0.8793103448275862
2019-05-30 13:45:00,0.0,0.0,115.0,149.0,115.0,130.0,0.4121863799283154,0.6609195402298851
2019-05-30 14:00:00,1.0,0.0,166.0,167.0,166.0,26.0,0.8556701030927835,0.9540229885057471
2019-05-30 14:15:00,0.0,0.0,146.0,160.0,146.0,63.0,0.6547085201793722,0.8390804597701149
2019-05-30 14:35:00,0.0,0.0,169.0,170.0,169.0,12.0,0.9285714285714286,0.9712643678160919
2019-05-30 14:50:00,2.0,0.0,170.0,170.0,170.0,4.0,0.9659090909090909,0.9770114942528736
2019-05-30 15:05:00,0.0,0.0,158.0,159.0,158.0,8.0,0.9461077844311377,0.9080459770114943
2019-05-30 15:20:00,1.0,0.0,163.0,164.0,163.0,5.0,0.9588235294117647,0.9367816091954023
2019-05-30 15:35:00,0.0,0.0,168.0,169.0,168.0,9.0,0.9438202247191011,0.9655172413793104
2019-05-30 15:50:00,0.0,0.0,156.0,156.0,156.0,1.0,0.9936305732484076,0.896551724137931
2019-05-30 16:05:00,0.0,0.0,148.0,148.0,148.0,0.0,1.0,0.8505747126436781
