,crc_errors,invalid_packets,messages,polling_cycles,publications,retransmissions,packet_delivery_ratio,network_delivery_ratio
2019-09-28 00:25:00+00:00,1.0,0.0,219.0,219.0,219.0,8.0,0.9605263157894737,0.9319148936170213
2019-09-28 00:40:00+00:00,0.0,0.0,221.0,221.0,221.0,3.0,0.9866071428571429,0.9404255319148936
2019-09-28 00:55:00+00:00,0.0,0.0,220.0,220.0,220.0,2.0,0.990990990990991,0.9361702127659575
2019-09-28 01:10:00+00:00,3.0,0.0,216.0,217.0,216.0,6.0,0.9557522123893806,0.9191489361702128
2019-09-28 01:25:00+00:00,6.0,0.0,218.0,218.0,218.0,5.0,0.9519650655021834,0.9276595744680851
2019-09-28 01:40:00+00:00,0.0,0.0,220.0,220.0,220.0,2.0,0.990990990990991,0.9361702127659575
2019-09-28 01:55:00+00:00,3.0,0.0,220.0,220.0,220.0,2.0,0.9777777777777777,0.9361702127659575
2019-09-28 02:10:00+00:00,3.0,0.0,220.0,220.0,220.0,2.0,0.9777777777777777,0.9361702127659575
2019-09-28 02:25:00+00:00,3.0,0.0,219.0,219.0,219.0,5.0,0.9647577092511013,0.9319148936170213
2019-09-28 02:40:00+00:00,6.0,0.0,218.0,218.0,218.0,5.0,0.9519650655021834,0.9276595744680851
2019-09-28 02:55:00+00:00,7.0,0.0,220.0,220.0,220.0,0.0,0.9691629955947136,0.9361702127659575
2019-09-28 03:10:00+00:00,2.0,0.0,217.0,218.0,217.0,9.0,0.9475982532751092,0.9234042553191489
2019-09-28 03:25:00+00:00,3.0,0.0,222.0,222.0,222.0,2.0,0.9779735682819384,0.9446808510638298
2019-09-28 03:45:00+00:00,0.0,0.0,221.0,221.0,221.0,3.0,0.9866071428571429,0.9404255319148936
2019-09-28 04:00:00+00:00,2.0,0.0,221.0,221.0,221.0,5.0,0.9692982456140351,0.9404255319148936
2019-09-28 04:15:00+00:00,1.0,0.0,221.0,221.0,221.0,3.0,0.9822222222222222,0.9404255319148936
2019-09-28 04:30:00+00:00,1.0,0.0,221.0,222.0,221.0,4.0,0.973568281938326,0.9404255319148936
2019-09-28 04:45:00+00:00,1.0,0.0,224.0,224.0,224.0,1.0,0.9911504424778761,0.9531914893617022
2019-09-28 05:00:00+00:00,0.0,0.0,226.0,226.0,226.0,3.0,0.9868995633187773,0.9617021276595744
2019-09-28 05:15:00+00:00,6.0,0.0,226.0,226.0,226.0,6.0,0.9495798319327731,0.9617021276595744
